participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
8,branch_RTME3,dualbranch,event,left,top,medium,6.0,RD
9,branch_RTSE2,dualbranch,event,right,top,short,4.0,otherD
9,branch_RTLE1,dualbranch,event,right,top,long,2.0,otherD
9,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,otherD
9,branch_RTLS,dualbranch,state,right,top,long,,otherD
9,branch_RTME3,dualbranch,event,right,bottom,medium,6.0,otherD
9,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,otherD
9,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,otherD
9,chain_RM,chain,,right,,medium,,otherC
9,branch_RTLE3,dualbranch,event,right,bottom,long,6.0,otherD
9,chain_RL,chain,,right,,long,,otherC
9,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,otherD
9,branch_RTME1,dualbranch,event,right,top,medium,2.0,otherC
9,chain_RS,chain,,right,,short,,otherC
9,branch_RTSS,dualbranch,state,right,top,short,,otherD
9,branch_RTMS,dualbranch,state,right,bottom,medium,,otherD
10,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,IC
10,branch_RTSS,dualbranch,state,left,top,short,,RC_IC
10,branch_RTMS,dualbranch,state,left,top,medium,,IC
10,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,IC
10,chain_RS,chain,,left,,short,,RC_IC
10,branch_RTLS,dualbranch,state,left,bottom,long,,IC
10,branch_RTSE1,dualbranch,event,left,top,short,2.0,RC_IC
10,branch_RTME1,dualbranch,event,left,top,medium,2.0,IC
10,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,IC
10,branch_RTME2,dualbranch,event,left,top,medium,4.0,IC
10,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
10,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
10,chain_RL,chain,,left,,long,,IC
10,chain_RM,chain,,left,,medium,,IC
10,branch_RTME3,dualbranch,event,left,top,medium,6.0,IC
11,chain_RM,chain,,right,,medium,,RC
11,branch_RTLE1,dualbranch,event,right,top,long,2.0,RC
11,branch_RTSS,dualbranch,state,right,bottom,short,,RC_IC
11,branch_RTLE2,dualbranch,event,right,top,long,4.0,RC
11,chain_RS,chain,,right,,short,,RC_IC
11,branch_RTLS,dualbranch,state,right,top,long,,RC
11,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
11,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
11,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
11,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
11,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
